Quartal,IVW-Nr,Quellzusatz,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20203,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,396499,389396,394458,,287210,,,63579,151184,87605,,6684,31923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20202,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,397981,391026,396816,,291952,,,67926,150477,82551,,2261,28887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20201,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,408741,401656,410821,,288972,,,63078,142387,79309,,22053,27553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20194,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,405732,397712,414660,,288121,,,59934,145081,85147,,21788,27869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20193,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,408340,400017,430309,,281632,,,67990,165058,97068,,22596,27799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20192,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,415173,406355,442371,,287708,,,66889,166878,99989,,23267,28491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20191,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,415481,407255,437787,,293420,,,62749,154192,91443,,22969,28117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20184,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,424437,415071,450248,,299373,,,64868,157790,92922,,23007,27823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20183,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,412092,403332,456135,,280344,,,72421,181029,108608,,22519,28048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20182,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,423881,413258,468474,,290488,,,69405,177127,107722,,23344,30021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20181,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,442038,432636,474921,,304913,,,74660,169447,94787,,24006,29057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20174,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,442548,433012,483723,,305411,,,72907,173822,100915,,25093,29601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20173,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,438807,430085,501513,,289747,,,79434,199728,120294,,32599,28305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20172,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,448817,439473,511499,,295897,,,78619,196506,117887,,35931,29026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20171,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,463840,451769,519563,,307552,,,77028,185743,108715,,37137,30052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20164,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,463490,450232,527263,,303964,,,77486,191452,113966,,39259,29523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20163,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,456270,443345,538198,,290667,,,86237,216066,129829,,40094,26347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20162,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,466697,456467,544735,,299741,,,84097,208206,124109,,44812,27817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20161,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,480299,469902,551335,,310504,,,86470,202472,116002,,41089,31839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20154,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,460286,449468,545071,,310788,,,72055,198711,126656,,39898,26727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20153,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,469165,458497,562310,,300995,,,93435,225740,132305,,39428,24639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20152,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,478469,467760,575142,,309632,,,91954,224840,132886,,40445,25729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20151,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,486419,475284,568378,,318178,,,99071,214327,115256,,32533,25502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20144,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,473782,460847,586439,,318086,,,83088,226615,143527,,33119,26554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20143,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,465427,453475,564709,,301904,,,95853,222890,127037,,33563,22155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20142,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,481532,470333,581697,,314888,,,95844,221783,125939,,33849,25752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20141,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,505102,494208,590802,,331505,,,98152,206913,108761,,34488,30063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20134,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,477746,466618,592519,,328108,,,77194,211731,134537,,38589,22727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20133,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,488374,477728,610788,,316733,,,99504,240478,140974,,40950,20541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20132,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,505514,495201,622219,,328169,,,101435,235953,134518,,40325,25272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20131,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,514009,503974,615603,,332704,,,107908,224644,116736,,36868,26494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20124,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,496488,483180,621633,,335102,,,86142,224205,138063,,38504,23432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20123,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,501296,489437,639936,,321322,,,106513,256900,150387,,41474,20128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20122,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,528433,519091,666324,,335835,,,112678,261408,148730,,43252,27326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20121,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,524810,516748,657437,,336782,,,114300,244729,130429,,40611,25055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20114,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,516431,507663,657095,,338936,,,106844,245287,138443,,41989,19894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20113,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,512082,499166,671413,,325016,,,117232,274434,157202,,44591,12327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20112,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,530743,520939,678050,,338870,,,122772,267952,145180,,44028,15269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20111,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,528978,520830,668524,,345176,,,110585,247962,137377,,42483,22586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20104,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,527837,519294,670466,,345603,,,110492,250908,140416,,42661,20538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20103,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,522634,511535,670496,,328093,,,127324,273086,145762,,43827,12291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20102,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,537989,528380,678955,,343410,,,126784,265632,138848,,43448,14738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20101,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,537679,530201,667580,,350274,,,116963,244726,127763,,38410,24554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20094,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,536821,524983,670732,,349458,,,112050,243761,131711,,41362,22113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20093,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,532418,517714,678780,,334004,,,127399,271583,144184,,41865,14446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20092,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,545714,530843,686291,,344191,,,126141,264597,138456,,44599,15912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20091,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,549150,535250,676239,,349870,,,117062,242038,124976,,47160,21158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20084,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,548420,532318,683074,,351607,,,110977,243307,132330,,48471,21263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20083,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,548647,531567,695016,,336400,,,125632,269474,143842,,53815,15720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VK,,,,,,,,101689
20083,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,548617,531537,695016,,336400,,,125602,269474,143872,,53815,15720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20082,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,558474,540820,700450,,346115,,,121440,260957,139517,,50334,22931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20081,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,557912,543265,687616,,347726,,,120223,247433,127210,,42649,32667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20074,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,544011,532225,677483,,348395,,,111184,242044,130860,,37680,34966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20073,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,539444,523185,681204,,333142,,,129413,268712,139299,,33787,26843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20072,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,555993,532736,703575,,347059,,,121116,266186,145070,,39331,25230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20071,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,560546,537927,688323,,349367,,,122429,247709,125280,,34213,31918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20064,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,548537,537828,674239,,346109,,,122080,245325,123245,,32682,36957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20063,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,544947,527771,679974,,336049,,,133765,266304,132539,,35687,22270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20062,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,555465,537753,690096,,345241,,,127703,259843,132140,,38082,26727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20061,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,548006,530930,680238,,352999,,,114018,243929,129911,,34576,29337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20054,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,555657,539326,675214,,348302,,,131149,248385,117236,,33871,26004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20053,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,550239,532720,684434,,335056,,,141233,273116,131883,,34462,21969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20052,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,550831,533682,687712,,346117,,,130118,264684,134566,,35057,22390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20051,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,564459,548055,694102,,350041,,,141632,268603,126971,,32857,23525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20044,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,552327,538647,663893,,346734,,,139097,247160,108063,,30533,22283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20043,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,541077,527638,674724,,337874,,,143472,274452,130980,,29567,16725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20042,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,553983,539113,696099,,348649,,,140145,279603,139458,,20122,30197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20041,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,553561,541328,681156,,351150,,,143118,267603,124485,,29712,17348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20034,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,546450,533765,670366,,350157,,,137382,257820,120438,,29796,16430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK,,,,,,,,101689
20034,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,546450,533765,670366,,350157,,,135440,255878,120438,,29796,18372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20033,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,541000,527021,675349,,333364,,,150424,280814,130390,,24765,18468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20032,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,550069,535313,682777,,343419,,,148766,277640,128874,,25117,18011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20031,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,555932,539571,675676,,353677,,,148553,264099,115546,,25863,11478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20024,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,553194,535687,679306,,354455,,,142944,263304,120360,,26026,38288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20023,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,564599,546261,703665,,334683,,,160884,295023,134139,,31689,50694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20022,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,561464,542119,705079,,344940,,,150510,289896,139386,,30389,46669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20021,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,564925,545482,693586,,349583,,,161731,285998,124267,,26727,34168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20014,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,545516,529572,682992,,349896,,,143832,277343,133511,,28628,35844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20013,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,554635,539857,707701,,341493,,,159787,308877,149090,,32251,38577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20012,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,556122,537012,696325,,352056,,,148070,284754,136684,,31773,36886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20011,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,553260,539817,679662,,349963,,,154930,277528,122598,,28988,34924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20004,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,540704,527397,672108,,343045,,,148448,276196,127748,,30148,35904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VK,,,,,,,,101689
20004,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,540705,527419,672108,,343045,,,148524,276272,127748,,30137,35850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20003,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,555457,543187,702494,,333363,,,169041,312715,143674,,34698,40783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20002,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,562677,546450,703051,,338637,,,166144,302763,136619,,36049,41669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20001,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,565266,550646,693721,,349149,,,168411,293233,124822,,27109,33086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19994,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,554648,538988,689482,,341622,,,160636,291142,130506,,31007,36730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19993,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,564519,548703,709964,,328326,,,181537,323417,141880,,33422,38840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19992,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,571912,556764,719416,,337128,,,179388,323207,143819,,34714,40248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19991,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,574740,559855,703916,,339286,,,187349,312771,125422,,27865,33220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19984,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,557068,542857,697623,,337257,,,168420,305478,137058,,31664,37180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19983,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,569445,554472,712749,,322278,,,193592,332157,138565,,32913,38602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19982,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,572243,558331,715048,,329616,,,191413,330856,139443,,31612,37302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
19981,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,570384,557882,691031,,333582,,,192339,309623,117284,,26382,31961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
